"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU3176"	"d:Bacteria"	"p:Verrucomicrobia"	"c:Spartobacteria"	"g:Spartobacteria_genera_incertae_sedis"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU229"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU58"	"d:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU4414"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU424"	"d:Bacteria"	"p:candidate_division_WPS-1"	"g:WPS-1_genera_incertae_sedis"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1894"	"d:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU403"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU837"	"d:Bacteria"	"p:Bacteroidetes"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU20"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp1"	"g:Gp1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU19609"	"d:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:Chitinophagaceae"	"UNKNOWN"	"UNKNOWN"
"OTU13064"	"d:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Xanthomonadales"	"f:Xanthomonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU55"	"d:Bacteria"	"p:Actinobacteria"	"c:Actinobacteria"	"o:Gaiellales"	"f:Gaiellaceae"	"g:Gaiella"	"UNKNOWN"
"OTU28"	"d:Bacteria"	"p:Proteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU26908"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1780"	"d:Bacteria"	"p:Bacteroidetes"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU15228"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU49"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU617"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp2"	"g:Gp2"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU19813"	"d:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU267"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2238"	"d:Bacteria"	"p:Planctomycetes"	"c:Planctomycetia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"UNKNOWN"	"UNKNOWN"
"OTU105"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp2"	"g:Gp2"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU4"	"d:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Pseudomonadales"	"f:Pseudomonadaceae"	"g:Pseudomonas"	"UNKNOWN"
"OTU634"	"d:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU13342"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU358"	"d:Bacteria"	"p:Verrucomicrobia"	"c:Spartobacteria"	"g:Spartobacteria_genera_incertae_sedis"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU180"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp3"	"g:Candidatus_Solibacter"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU16381"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1718"	"d:Bacteria"	"p:Bacteroidetes"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU51"	"d:Bacteria"	"p:Gemmatimonadetes"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU599"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp3"	"g:Gp3"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU129"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp1"	"g:Gp1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU482"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU22"	"d:Bacteria"	"p:Firmicutes"	"c:Bacilli"	"o:Bacillales"	"f:Planococcaceae"	"UNKNOWN"	"UNKNOWN"
"OTU563"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU3230"	"d:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU449"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2808"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp7"	"g:Gp7"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2801"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU241"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Sphingomonadales"	"f:Sphingomonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU1486"	"d:Bacteria"	"p:Gemmatimonadetes"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1806"	"d:Bacteria"	"p:candidate_division_WPS-1"	"g:WPS-1_genera_incertae_sedis"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU56"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp1"	"g:Gp1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU150"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"g:Reyranella"	"UNKNOWN"	"UNKNOWN"
"OTU501"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp5"	"g:Gp5"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1516"	"d:Bacteria"	"p:Planctomycetes"	"c:Planctomycetia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"UNKNOWN"	"UNKNOWN"
"OTU161"	"d:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Xanthomonadales"	"f:Xanthomonadaceae"	"g:Arenimonas"	"UNKNOWN"
"OTU361"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp1"	"g:Gp1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU18641"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU15700"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp2"	"g:Gp2"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU111"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp4"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU97"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp6"	"g:Gp6"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU139"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Sphingomonadales"	"f:Sphingomonadaceae"	"g:Novosphingobium"	"UNKNOWN"
"OTU22817"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp2"	"g:Gp2"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU20162"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"f:Rhodospirillaceae"	"UNKNOWN"	"UNKNOWN"
"OTU75"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"f:Rhodospirillaceae"	"UNKNOWN"	"UNKNOWN"
"OTU17309"	"d:Bacteria"	"p:Bacteroidetes"	"c:Cytophagia"	"o:Cytophagales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU730"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1251"	"d:Bacteria"	"p:candidate_division_WPS-1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2234"	"d:Bacteria"	"p:Bacteroidetes"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1882"	"d:Bacteria"	"p:Proteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU7"	"d:Bacteria"	"p:Verrucomicrobia"	"c:Spartobacteria"	"g:Spartobacteria_genera_incertae_sedis"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU23"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp3"	"g:Gp3"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU164"	"d:Bacteria"	"p:Actinobacteria"	"c:Actinobacteria"	"o:Actinomycetales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU54"	"d:Bacteria"	"p:Actinobacteria"	"c:Actinobacteria"	"o:Solirubrobacterales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU177"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp6"	"g:Gp6"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU82"	"d:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:Chitinophagaceae"	"g:Terrimonas"	"UNKNOWN"
"OTU34"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp1"	"g:Gp1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU498"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"f:Rhodospirillaceae"	"UNKNOWN"	"UNKNOWN"
"OTU1055"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU826"	"d:Bacteria"	"p:Actinobacteria"	"c:Actinobacteria"	"o:Solirubrobacterales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU570"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"f:Rhodospirillaceae"	"UNKNOWN"	"UNKNOWN"
"OTU21951"	"d:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU333"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU15375"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU906"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU160"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1403"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Oxalobacteraceae"	"UNKNOWN"	"UNKNOWN"
"OTU244"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"f:Acetobacteraceae"	"UNKNOWN"	"UNKNOWN"
"OTU184"	"d:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Xanthomonadales"	"f:Xanthomonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU3242"	"d:Bacteria"	"p:Bacteroidetes"	"c:Cytophagia"	"o:Cytophagales"	"g:Chryseolinea"	"UNKNOWN"	"UNKNOWN"
"OTU20479"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2023"	"d:Bacteria"	"p:Planctomycetes"	"c:Planctomycetia"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU21534"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Hyphomicrobiaceae"	"g:Hyphomicrobium"	"UNKNOWN"
"OTU3504"	"d:Bacteria"	"p:Bacteroidetes"	"c:Flavobacteriia"	"o:Flavobacteriales"	"f:Flavobacteriaceae"	"g:Flavobacterium"	"UNKNOWN"
"OTU99"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Burkholderiaceae"	"g:Burkholderia"	"UNKNOWN"
"OTU1758"	"d:Bacteria"	"p:Planctomycetes"	"c:Planctomycetia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"g:Gemmata"	"UNKNOWN"
"OTU22066"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU602"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp1"	"g:Gp1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2646"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU15461"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU19"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp4"	"g:Gp4"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU17327"	"d:Bacteria"	"p:Planctomycetes"	"c:Planctomycetia"	"o:Planctomycetales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU13771"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp1"	"g:Gp1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1996"	"d:Bacteria"	"p:Firmicutes"	"c:Bacilli"	"o:Bacillales"	"f:Paenibacillaceae_1"	"g:Paenibacillus"	"UNKNOWN"
"OTU1552"	"d:Bacteria"	"p:Bacteroidetes"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU19350"	"d:Bacteria"	"p:Planctomycetes"	"c:Planctomycetia"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU863"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp1"	"g:Gp1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
