"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU8"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Sphingomonadales"	"f:Sphingomonadaceae"	"g:Sphingomonas"	"UNKNOWN"
"OTU453"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU7819"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Burkholderiaceae"	"g:Burkholderia"	"UNKNOWN"
"OTU339"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"f:BIrii41"	"UNKNOWN"	"UNKNOWN"
"OTU26"	"k:Bacteria"	"p:Proteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU61"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_2"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU3176"	"k:Bacteria"	"p:Verrucomicrobia"	"c:Spartobacteria"	"o:Chthoniobacterales"	"f:DA101_soil_group"	"UNKNOWN"	"UNKNOWN"
"OTU229"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:GR-WP33-30"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU58"	"k:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Xanthomonadales"	"f:Xanthomonadales_Incertae_Sedis"	"g:Acidibacter"	"UNKNOWN"
"OTU4414"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Oligoflexales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU424"	"k:Bacteria"	"p:Planctomycetes"	"c:Phycisphaerae"	"o:WD2101_soil_group"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1894"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"f:Sandaracinaceae"	"g:Sandaracinus"	"UNKNOWN"
"OTU403"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:SC-I-84"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU837"	"k:Bacteria"	"p:Bacteroidetes"	"c:Flavobacteriia"	"o:Flavobacteriales"	"f:NS9_marine_group"	"UNKNOWN"	"UNKNOWN"
"OTU20"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"UNKNOWN"	"UNKNOWN"
"OTU19609"	"k:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:Chitinophagaceae"	"UNKNOWN"	"UNKNOWN"
"OTU13064"	"k:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Xanthomonadales"	"f:Xanthomonadaceae"	"g:Rhodanobacter"	"UNKNOWN"
"OTU55"	"k:Bacteria"	"p:Actinobacteria"	"c:Thermoleophilia"	"o:Gaiellales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU28"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:SC-I-84"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU26908"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Nitrosomonadales"	"f:Nitrosomonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU1780"	"k:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:NS11-12_marine_group"	"UNKNOWN"	"UNKNOWN"
"OTU15228"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Xanthobacteraceae"	"UNKNOWN"	"UNKNOWN"
"OTU49"	"k:Bacteria"	"p:Proteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU617"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_2"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU19813"	"k:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:NKB5"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU267"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:GR-WP33-30"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2238"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"UNKNOWN"	"UNKNOWN"
"OTU105"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_2"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU4"	"k:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Pseudomonadales"	"f:Pseudomonadaceae"	"g:Pseudomonas"	"UNKNOWN"
"OTU634"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"f:Haliangiaceae"	"g:Haliangium"	"UNKNOWN"
"OTU13342"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Xanthobacteraceae"	"UNKNOWN"	"UNKNOWN"
"OTU358"	"k:Bacteria"	"p:Verrucomicrobia"	"c:Spartobacteria"	"o:Chthoniobacterales"	"f:Chthoniobacteraceae"	"g:Chthoniobacter"	"UNKNOWN"
"OTU180"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_3"	"f:Unknown_Family"	"g:Candidatus_Solibacter"	"UNKNOWN"
"OTU16381"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1718"	"k:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:KD3-93"	"UNKNOWN"	"UNKNOWN"
"OTU51"	"k:Bacteria"	"p:Gemmatimonadetes"	"c:Gemmatimonadetes"	"o:Gemmatimonadales"	"f:Gemmatimonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU599"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_3"	"f:Unknown_Family"	"g:Bryobacter"	"UNKNOWN"
"OTU129"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"UNKNOWN"	"UNKNOWN"
"OTU482"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Hyphomicrobiaceae"	"g:Blastochloris"	"UNKNOWN"
"OTU22"	"k:Bacteria"	"p:Firmicutes"	"c:Bacilli"	"o:Bacillales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU563"	"k:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU3230"	"k:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Xanthomonadales"	"f:Xanthomonadales_Incertae_Sedis"	"g:Acidibacter"	"UNKNOWN"
"OTU449"	"k:Bacteria"	"p:Chloroflexi"	"c:Anaerolineae"	"o:Anaerolineales"	"f:Anaerolineaceae"	"UNKNOWN"	"UNKNOWN"
"OTU2808"	"k:Bacteria"	"p:Acidobacteria"	"c:Holophagae"	"o:Subgroup_7"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2801"	"k:Bacteria"	"p:Chloroflexi"	"c:Ktedonobacteria"	"o:C0119"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU241"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Sphingomonadales"	"f:Sphingomonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU1486"	"k:Bacteria"	"p:Gemmatimonadetes"	"c:Gemmatimonadetes"	"o:Gemmatimonadales"	"f:Gemmatimonadaceae"	"g:Gemmatimonas"	"UNKNOWN"
"OTU1806"	"k:Bacteria"	"p:Planctomycetes"	"c:Phycisphaerae"	"o:WD2101_soil_group"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU56"	"k:Bacteria"	"p:Acidobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU150"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"f:Rhodospirillales_Incertae_Sedis"	"g:Reyranella"	"UNKNOWN"
"OTU501"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_5"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1516"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"g:Singulisphaera"	"UNKNOWN"
"OTU161"	"k:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Xanthomonadales"	"f:Xanthomonadaceae"	"g:Arenimonas"	"UNKNOWN"
"OTU361"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"UNKNOWN"	"UNKNOWN"
"OTU18641"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:SC-I-84"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU15700"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_2"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU111"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_4"	"f:Unknown_Family"	"g:Blastocatella"	"UNKNOWN"
"OTU97"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_6"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU139"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Sphingomonadales"	"f:Sphingomonadaceae"	"g:Novosphingobium"	"UNKNOWN"
"OTU22817"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_2"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU20162"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"f:JG37-AG-20"	"UNKNOWN"	"UNKNOWN"
"OTU75"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU17309"	"k:Bacteria"	"p:Bacteroidetes"	"c:Cytophagia"	"o:Cytophagales"	"f:Cytophagaceae"	"g:Cytophaga"	"UNKNOWN"
"OTU730"	"k:Bacteria"	"p:Chloroflexi"	"c:Ktedonobacteria"	"o:JG30-KF-AS9"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1251"	"k:Bacteria"	"p:Planctomycetes"	"c:Phycisphaerae"	"o:WD2101_soil_group"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2234"	"k:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1882"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:GR-WP33-30"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU7"	"k:Bacteria"	"p:Verrucomicrobia"	"c:Spartobacteria"	"o:Chthoniobacterales"	"f:DA101_soil_group"	"UNKNOWN"	"UNKNOWN"
"OTU23"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_3"	"f:Unknown_Family"	"g:Bryobacter"	"UNKNOWN"
"OTU164"	"k:Bacteria"	"p:Actinobacteria"	"c:Actinobacteria"	"o:Frankiales"	"f:Acidothermaceae"	"g:Acidothermus"	"UNKNOWN"
"OTU54"	"k:Bacteria"	"p:Actinobacteria"	"c:Thermoleophilia"	"o:Solirubrobacterales"	"f:TM146"	"UNKNOWN"	"UNKNOWN"
"OTU177"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_6"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU82"	"k:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:Chitinophagaceae"	"g:Terrimonas"	"UNKNOWN"
"OTU34"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"UNKNOWN"	"UNKNOWN"
"OTU498"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"f:Rhodospirillaceae"	"g:Dongia"	"UNKNOWN"
