"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU964"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Sphingomonadales"	"f:Sphingomonadaceae"	"g:Zymomonas"	"UNKNOWN"
"OTU221"	"k:Bacteria"	"p:Chloroflexi"	"c:JG37-AG-4"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2599"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU873"	"k:Bacteria"	"p:Chloroflexi"	"c:KD4-96"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU3295"	"k:Bacteria"	"p:Verrucomicrobia"	"c:Verrucomicrobiae"	"o:Verrucomicrobiales"	"f:Verrucomicrobiaceae"	"UNKNOWN"	"UNKNOWN"
"OTU21904"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1213"	"k:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:NS11-12_marine_group"	"UNKNOWN"	"UNKNOWN"
"OTU232"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_4"	"f:Unknown_Family"	"g:Blastocatella"	"UNKNOWN"
"OTU29201"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"g:Pirellula"	"UNKNOWN"
"OTU6994"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"UNKNOWN"	"UNKNOWN"
"OTU477"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_6"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU858"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_6"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU8596"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"UNKNOWN"	"UNKNOWN"
"OTU272"	"k:Bacteria"	"p:Actinobacteria"	"c:Actinobacteria"	"o:Frankiales"	"f:Frankiaceae"	"UNKNOWN"	"UNKNOWN"
"OTU677"	"k:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU23848"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:GR-WP33-30"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU15139"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_4"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU10557"	"k:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:Chitinophagaceae"	"UNKNOWN"	"UNKNOWN"
"OTU977"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_6"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU52"	"k:Bacteria"	"p:Chloroflexi"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU878"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_4"	"f:RB41"	"UNKNOWN"	"UNKNOWN"
"OTU12369"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"UNKNOWN"	"UNKNOWN"
"OTU524"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Xanthobacteraceae"	"UNKNOWN"	"UNKNOWN"
"OTU440"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:GR-WP33-30"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1422"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"f:Haliangiaceae"	"g:Haliangium"	"UNKNOWN"
"OTU1542"	"k:Bacteria"	"p:Chloroflexi"	"c:Anaerolineae"	"o:Anaerolineales"	"f:Anaerolineaceae"	"UNKNOWN"	"UNKNOWN"
"OTU21040"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Sphingomonadales"	"f:Sphingomonadaceae"	"g:Sphingomonas"	"UNKNOWN"
"OTU1084"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"f:DA111"	"UNKNOWN"	"UNKNOWN"
"OTU1426"	"k:Bacteria"	"p:Actinobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2033"	"k:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1518"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Sphingomonadales"	"f:Sphingomonadaceae"	"g:Sphingomonas"	"UNKNOWN"
"OTU112"	"k:Bacteria"	"p:Actinobacteria"	"c:Actinobacteria"	"o:Streptomycetales"	"f:Streptomycetaceae"	"g:Streptomyces"	"UNKNOWN"
"OTU541"	"k:Bacteria"	"p:Verrucomicrobia"	"c:Opitutae"	"o:Opitutales"	"f:Opitutaceae"	"g:Opitutus"	"UNKNOWN"
"OTU1345"	"k:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:Chitinophagaceae"	"UNKNOWN"	"UNKNOWN"
"OTU589"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_13"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU500"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_3"	"f:Unknown_Family"	"g:Bryobacter"	"UNKNOWN"
"OTU68"	"k:Bacteria"	"p:Gemmatimonadetes"	"c:Gemmatimonadetes"	"o:Gemmatimonadales"	"f:Gemmatimonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU147"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"f:Haliangiaceae"	"g:Haliangium"	"UNKNOWN"
"OTU1066"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"UNKNOWN"	"UNKNOWN"
"OTU194"	"k:Bacteria"	"p:Planctomycetes"	"c:Phycisphaerae"	"o:WD2101_soil_group"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1911"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"UNKNOWN"	"UNKNOWN"
"OTU169"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_3"	"f:Unknown_Family"	"g:Candidatus_Solibacter"	"UNKNOWN"
"OTU692"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:GR-WP33-30"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1616"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rickettsiales"	"f:Mitochondria"	"UNKNOWN"	"UNKNOWN"
"OTU1161"	"k:Bacteria"	"p:Chloroflexi"	"c:Anaerolineae"	"o:Anaerolineales"	"f:Anaerolineaceae"	"UNKNOWN"	"UNKNOWN"
"OTU13289"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU10816"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"UNKNOWN"	"UNKNOWN"
"OTU5761"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_5"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU3969"	"k:Bacteria"	"p:Parcubacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU329"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Alcaligenaceae"	"UNKNOWN"	"UNKNOWN"
"OTU79"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Comamonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU3074"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"UNKNOWN"	"UNKNOWN"
"OTU27685"	"k:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Legionellales"	"f:Coxiellaceae"	"g:Aquicella"	"UNKNOWN"
"OTU14597"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"UNKNOWN"	"UNKNOWN"
"OTU224"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Sphingomonadales"	"f:Sphingomonadaceae"	"g:Novosphingobium"	"UNKNOWN"
"OTU685"	"k:Bacteria"	"p:Bacteroidetes"	"c:Flavobacteriia"	"o:Flavobacteriales"	"f:Flavobacteriaceae"	"g:Flavobacterium"	"UNKNOWN"
"OTU200"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Burkholderiaceae"	"g:Burkholderia"	"UNKNOWN"
"OTU987"	"k:Bacteria"	"p:Verrucomicrobia"	"c:Spartobacteria"	"o:Chthoniobacterales"	"f:DA101_soil_group"	"UNKNOWN"	"UNKNOWN"
"OTU29796"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"UNKNOWN"	"UNKNOWN"
"OTU1104"	"k:Bacteria"	"p:Actinobacteria"	"c:Actinobacteria"	"o:Micromonosporales"	"f:Micromonosporaceae"	"UNKNOWN"	"UNKNOWN"
"OTU5519"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:GR-WP33-30"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2601"	"k:Bacteria"	"p:Chloroflexi"	"c:Ktedonobacteria"	"o:Ktedonobacterales"	"f:Ktedonobacteraceae"	"g:Ktedonobacter"	"UNKNOWN"
"OTU59"	"k:Bacteria"	"p:Actinobacteria"	"c:Thermoleophilia"	"o:Solirubrobacterales"	"f:480-2"	"UNKNOWN"	"UNKNOWN"
"OTU1053"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"f:Acetobacteraceae"	"g:Acidicaldus"	"UNKNOWN"
"OTU1570"	"k:Bacteria"	"p:Planctomycetes"	"c:Phycisphaerae"	"o:WD2101_soil_group"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU17339"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_2"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU492"	"k:Bacteria"	"p:Planctomycetes"	"c:Phycisphaerae"	"o:WD2101_soil_group"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1777"	"k:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Xanthomonadales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU5526"	"k:Bacteria"	"p:Planctomycetes"	"c:Phycisphaerae"	"o:Phycisphaerales"	"f:Phycisphaeraceae"	"UNKNOWN"	"UNKNOWN"
"OTU20480"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Bdellovibrionales"	"f:Bdellovibrionaceae"	"g:Bdellovibrio"	"UNKNOWN"
"OTU350"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"f:Rhodospirillaceae"	"g:Dongia"	"UNKNOWN"
"OTU146"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rickettsiales"	"f:Mitochondria"	"UNKNOWN"	"UNKNOWN"
"OTU925"	"k:Bacteria"	"p:Acidobacteria"	"c:Subgroup_22"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1560"	"k:Bacteria"	"p:Actinobacteria"	"c:Acidimicrobiia"	"o:Acidimicrobiales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU280"	"k:Bacteria"	"p:Actinobacteria"	"c:Acidimicrobiia"	"o:Acidimicrobiales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1809"	"k:Bacteria"	"p:Planctomycetes"	"c:Phycisphaerae"	"o:WD2101_soil_group"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2900"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Caulobacterales"	"f:Caulobacteraceae"	"g:Brevundimonas"	"UNKNOWN"
"OTU1810"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Oligoflexales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU512"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU8392"	"k:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU27274"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Hyphomicrobiaceae"	"g:Hyphomicrobium"	"UNKNOWN"
"OTU3037"	"k:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU11922"	"k:Bacteria"	"p:Actinobacteria"	"c:Actinobacteria"	"o:Corynebacteriales"	"f:Nocardiaceae"	"g:Nocardia"	"UNKNOWN"
"OTU21685"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"f:Cystobacteraceae"	"g:Anaeromyxobacter"	"UNKNOWN"
"OTU2282"	"k:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:Chitinophagaceae"	"UNKNOWN"	"UNKNOWN"
"OTU22601"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Comamonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU9908"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Comamonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU4587"	"k:Bacteria"	"p:Elusimicrobia"	"c:Elusimicrobia"	"o:Lineage_IIc"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU15713"	"k:Bacteria"	"p:Actinobacteria"	"c:Actinobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1690"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"f:Polyangiaceae"	"g:Sorangium"	"UNKNOWN"
"OTU3420"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"UNKNOWN"	"UNKNOWN"
"OTU475"	"k:Bacteria"	"p:Chloroflexi"	"c:Ktedonobacteria"	"o:Ktedonobacterales"	"f:Ktedonobacteraceae"	"UNKNOWN"	"UNKNOWN"
"OTU13941"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_3"	"f:Unknown_Family"	"g:Bryobacter"	"UNKNOWN"
"OTU856"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"UNKNOWN"	"UNKNOWN"
"OTU3313"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rickettsiales"	"f:Rickettsiales_Incertae_Sedis"	"g:Candidatus_Odyssella"	"UNKNOWN"
"OTU2427"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rickettsiales"	"f:Mitochondria"	"UNKNOWN"	"UNKNOWN"
"OTU1311"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"f:Haliangiaceae"	"g:Haliangium"	"UNKNOWN"
"OTU2270"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_3"	"f:Unknown_Family"	"g:Bryobacter"	"UNKNOWN"
"OTU396"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1093"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"f:Haliangiaceae"	"g:Haliangium"	"UNKNOWN"
"OTU1101"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"g:Pirellula"	"UNKNOWN"
"OTU854"	"k:Bacteria"	"p:Acidobacteria"	"c:Holophagae"	"o:Subgroup_7"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2682"	"k:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Xanthomonadales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1962"	"k:Bacteria"	"p:Candidate_division_OP3"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU399"	"k:Bacteria"	"p:Cyanobacteria"	"c:Chloroplast"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU20942"	"k:Bacteria"	"p:Actinobacteria"	"c:Thermoleophilia"	"o:Gaiellales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU7108"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"g:Singulisphaera"	"UNKNOWN"
"OTU20294"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Burkholderiaceae"	"UNKNOWN"	"UNKNOWN"
"OTU600"	"k:Bacteria"	"p:Actinobacteria"	"c:Thermoleophilia"	"o:Gaiellales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU581"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:GR-WP33-30"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU20196"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Rhizobiaceae"	"g:Rhizobium"	"UNKNOWN"
"OTU1525"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_4"	"f:RB41"	"UNKNOWN"	"UNKNOWN"
"OTU236"	"k:Bacteria"	"p:Actinobacteria"	"c:Actinobacteria"	"o:Micromonosporales"	"f:Micromonosporaceae"	"g:Actinoplanes"	"UNKNOWN"
"OTU9269"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_6"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU928"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_3"	"f:Unknown_Family"	"g:Candidatus_Solibacter"	"UNKNOWN"
"OTU23819"	"k:Bacteria"	"p:Latescibacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU15270"	"k:Bacteria"	"p:Actinobacteria"	"c:Thermoleophilia"	"o:Gaiellales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU4477"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Comamonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU24444"	"k:Bacteria"	"p:Latescibacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU19058"	"k:Bacteria"	"p:Actinobacteria"	"c:Thermoleophilia"	"o:Solirubrobacterales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU12141"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Hyphomicrobiaceae"	"g:Hyphomicrobium"	"UNKNOWN"
"OTU1512"	"k:Bacteria"	"p:Gemmatimonadetes"	"c:Gemmatimonadetes"	"o:Gemmatimonadales"	"f:Gemmatimonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU2412"	"k:Bacteria"	"p:Gemmatimonadetes"	"c:Gemmatimonadetes"	"o:Gemmatimonadales"	"f:Gemmatimonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU288"	"k:Bacteria"	"p:Firmicutes"	"c:Bacilli"	"o:Bacillales"	"f:Paenibacillaceae"	"UNKNOWN"	"UNKNOWN"
"OTU21925"	"k:Bacteria"	"p:Chloroflexi"	"c:Gitt-GS-136"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU738"	"k:Bacteria"	"p:Fibrobacteres"	"c:Fibrobacteria"	"o:Fibrobacterales"	"f:Fibrobacteraceae"	"g:possible_genus_04"	"UNKNOWN"
"OTU961"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Hyphomicrobiaceae"	"UNKNOWN"	"UNKNOWN"
"OTU12152"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"UNKNOWN"	"UNKNOWN"
"OTU661"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"UNKNOWN"	"UNKNOWN"
"OTU20990"	"k:Bacteria"	"p:Armatimonadetes"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU822"	"k:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Oceanospirillales"	"f:Oceanospirillaceae"	"g:Pseudospirillum"	"UNKNOWN"
"OTU141"	"k:Bacteria"	"p:Acidobacteria"	"c:Holophagae"	"o:Subgroup_10"	"f:ABS-19"	"UNKNOWN"	"UNKNOWN"
"OTU2886"	"k:Bacteria"	"p:Planctomycetes"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU7462"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_4"	"f:RB41"	"UNKNOWN"	"UNKNOWN"
"OTU3201"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"f:Phaselicystidaceae"	"g:Phaselicystis"	"UNKNOWN"
"OTU651"	"k:Bacteria"	"p:Gemmatimonadetes"	"c:Gemmatimonadetes"	"o:Gemmatimonadales"	"f:Gemmatimonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU4484"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Caulobacterales"	"f:Caulobacteraceae"	"UNKNOWN"	"UNKNOWN"
"OTU1335"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Desulfuromonadales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU497"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Bdellovibrionales"	"f:Bacteriovoracaceae"	"g:Peredibacter"	"UNKNOWN"
"OTU790"	"k:Bacteria"	"p:Bacteroidetes"	"c:Cytophagia"	"o:Cytophagales"	"f:Cytophagaceae"	"g:Adhaeribacter"	"UNKNOWN"
"OTU2578"	"k:Bacteria"	"p:Planctomycetes"	"c:BD7-11"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2403"	"k:Bacteria"	"p:Verrucomicrobia"	"c:OPB35_soil_group"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1779"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Burkholderiaceae"	"g:Burkholderia"	"UNKNOWN"
"OTU688"	"k:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:Chitinophagaceae"	"UNKNOWN"	"UNKNOWN"
"OTU3626"	"k:Bacteria"	"p:SM2F11"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1040"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Sphingomonadales"	"f:Erythrobacteraceae"	"UNKNOWN"	"UNKNOWN"
"OTU861"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_4"	"f:RB41"	"UNKNOWN"	"UNKNOWN"
"OTU2075"	"k:Bacteria"	"p:Bacteroidetes"	"c:Cytophagia"	"o:Cytophagales"	"f:Cytophagaceae"	"g:Sporocytophaga"	"UNKNOWN"
"OTU15703"	"k:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1323"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"UNKNOWN"	"UNKNOWN"
"OTU962"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_5"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2718"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Caulobacterales"	"f:Hyphomonadaceae"	"g:Woodsholea"	"UNKNOWN"
"OTU594"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"UNKNOWN"	"UNKNOWN"
"OTU372"	"k:Bacteria"	"p:Planctomycetes"	"c:Phycisphaerae"	"o:WD2101_soil_group"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU3438"	"k:Bacteria"	"p:Elusimicrobia"	"c:Elusimicrobia"	"o:Lineage_IV"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU8127"	"k:Bacteria"	"p:Chloroflexi"	"c:KD4-96"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU3342"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"g:Singulisphaera"	"UNKNOWN"
"OTU1853"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Caulobacterales"	"f:Caulobacteraceae"	"g:Caulobacter"	"UNKNOWN"
