"MERDSSG100"	"MERDSSG103"	"MERDSSG109"	"MERDSSG10"	"MERDSSG112"	"MERDSSG115"	"MERDSSG118"	"MERDSSG124"	"MERDSSG127"	"MERDSSG130"	"MERDSSG133"	"MERDSSG139"	"MERDSSG142"	"MERDSSG145"	"MERDSSG148"	"MERDSSG14"	"MERDSSG154"	"MERDSSG157"	"MERDSSG160"	"MERDSSG163"	"MERDSSG169"	"MERDSSG172"	"MERDSSG175"	"MERDSSG178"	"MERDSSG20"	"MERDSSG23"	"MERDSSG25"	"MERDSSG30"	"MERDSSG37"	"MERDSSG39"	"MERDSSG42"	"MERDSSG44"	"MERDSSG49"	"MERDSSG4"	"MERDSSG52"	"MERDSSG55"	"MERDSSG58"	"MERDSSG64"	"MERDSSG67"	"MERDSSG6"	"MERDSSG72"	"MERDSSG73"	"MERDSSG79"	"MERDSSG84"	"MERDSSG85"	"MERDSSG89"	"MERDSSG94"	"MERDSSG97"	"MERDSSGB2"	"MERDSSGB3"	"MERDSSGB4"	"MERDSSGB5"	"MERDSSGZ2"	"MERDSSGZ3"	"MERDSSGZ4"	"MERDSSGZ5"
"OTU6187"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU16431"	4	5	3	17	10	10	3	2	0	0	0	5	7	2	0	6	3	3	6	3	0	0	0	0	11	1	2	2	0	0	0	0	5	11	2	3	14	3	7	4	0	1	0	0	0	0	4	7	1	4	10	5	10	6	4	12
"OTU1130"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	2
"OTU3118"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	1	6
"OTU2360"	0	0	3	2	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	3	1	2	0	3	4
"OTU7776"	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
"OTU17428"	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
"OTU17580"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"OTU16532"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"OTU4515"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU4448"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"OTU2803"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
"OTU2322"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	2	2	2
"OTU6483"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"OTU1874"	0	0	4	0	1	0	2	0	0	0	0	10	1	2	3	17	7	6	11	5	0	0	0	0	0	2	0	19	0	0	0	0	2	0	4	0	0	0	0	0	2	0	0	0	0	0	1	15	0	0	0	0	2	0	0	0
"OTU3356"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	6
"OTU5730"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	2	1	0	2
"OTU2970"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU2985"	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"OTU3805"	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	2	0	0	0	2
"OTU2915"	0	1	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	0	3	4	0	0	0	0	0	0	1	0	0	0	0	0	1	1	5	0	5	0	0	0	0	1	0	0	0	0	0	0	2	10	5	6	6	12	1	13
"OTU5242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"OTU2884"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"OTU3554"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"OTU421"	0	0	0	2	0	0	2	22	1	6	0	0	0	0	0	0	0	0	0	0	17	1	55	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	3	0	0	0	0	0
"OTU1788"	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
"OTU718"	5	0	2	5	6	0	5	0	0	0	0	8	0	3	3	4	6	2	3	4	0	0	0	0	1	4	0	0	0	0	0	0	0	5	8	5	1	4	3	0	12	5	9	0	0	0	0	2	3	2	1	3	2	4	7	0
"OTU994"	0	0	0	0	0	0	0	0	3	11	5	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"OTU1463"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU197"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	16	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU5521"	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"OTU266"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU16228"	24	0	0	44	1	10	1	0	0	0	0	0	2	6	1	0	0	0	1	0	11	0	9	0	10	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	2	1
"OTU742"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
"OTU3900"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	8	1	0	0	0	0	0	0	0	0	0	0
"OTU490"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	14	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"OTU26611"	0	0	0	0	0	0	0	0	5	22	120	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	5	0	0	4	0	0	0	0	0	0	0	0	0	0
"OTU193"	0	0	0	0	0	0	7	589	5	3	1	1	0	0	0	0	0	0	0	0	761	1	1189	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	85	0	0	0	0	1	0	0	0	0	0	0	0	0
"OTU1182"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
"OTU271"	3	1	22	3	10	10	45	226	198	89	192	5	46	0	29	0	6	70	25	24	355	269	265	92	9	0	1	4	29	97	0	122	5	0	16	9	2	6	3	11	3	0	119	0	144	63	2	2	0	0	1	0	0	0	1	0
"OTU24883"	15	18	91	4	48	2	10	0	136	0	4	0	14	11	5	10	31	43	36	12	50	100	0	41	7	87	78	159	0	0	0	0	1	0	83	0	0	4	32	1	27	28	0	0	0	0	0	682	0	0	0	0	0	0	0	0
"OTU463"	7	3	5	3	9	31	9	2	0	0	0	4	2	0	6	10	2	2	4	6	0	0	1	0	0	7	21	15	4	0	0	0	19	12	7	22	3	3	0	13	3	7	14	0	0	0	0	0	4	3	8	3	10	5	13	7
"OTU269"	0	0	0	0	0	0	0	0	1548	11	0	0	0	0	0	0	0	0	0	0	4	513	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	25	0	0	0	0	0	0	0	0	0	0
"OTU16239"	0	5	6	0	0	0	13	11	29	53	31	0	4	2	10	0	28	16	10	15	52	53	18	10	38	17	4	2	0	0	0	0	0	0	0	0	0	4	40	0	23	29	0	0	0	11	0	0	0	0	0	0	0	0	0	0
"OTU18011"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2
"OTU2311"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU13485"	25	3	7	15	9	17	13	0	0	0	0	19	9	6	11	4	3	1	15	26	0	0	0	0	2	0	9	9	0	0	0	0	7	29	2	8	8	4	5	1	5	1	0	0	0	0	23	4	3	2	8	5	6	4	26	1
"OTU1259"	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU1529"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	5	0	1	0	4	0	0	0	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0
"OTU13514"	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	3	0	0
"OTU1367"	0	0	0	0	0	0	0	33	36	27	11	0	0	0	0	0	0	0	1	0	73	38	18	19	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU1561"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	4	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU3908"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"OTU1166"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU9168"	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU4006"	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"OTU16634"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU1798"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"OTU20902"	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	13	76	8	9	0	0	0	0	0	0	0	0	0	0
"OTU20533"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU408"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU609"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	524	13	0	20	0	0	0	0	0	0	0	0	0	0
"OTU638"	1	1	21	2	1	10	3	0	0	0	0	13	12	55	5	3	85	106	85	2	0	0	0	0	2	18	38	2	0	0	0	0	42	15	8	40	0	39	17	3	13	14	0	0	0	0	62	33	1	0	0	0	0	1	0	0
"OTU914"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	142	0	0	0	0	0	0	0	0	0	0
"OTU1694"	10	3	0	11	1	5	3	0	0	0	0	0	0	0	2	7	0	0	0	0	6	0	0	0	4	3	4	7	0	0	0	0	2	1	6	4	3	4	0	0	0	1	1	0	0	0	0	1	1	0	0	3	0	2	1	2
"OTU644"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU5345"	0	0	0	4	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	2	0	0	0	0	0	0	0
"OTU889"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	91	0	5	3	0	0	0	0	0	0	0	0	0
"OTU3087"	9	2	0	1	1	2	1	0	0	0	0	2	2	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	1	1	4	3	4	0
"OTU676"	4	0	6	7	0	0	3	3	0	4	0	0	4	7	0	0	0	0	3	0	0	0	2	0	2	12	0	0	0	35	0	0	7	1	5	3	519	13	0	1	33	112	8	0	0	0	4	1	0	1	0	0	0	0	0	0
"OTU2362"	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	17	0	0	0	0	1	1	0	0	1	1
"OTU2519"	0	0	0	0	0	0	0	1	0	4	7	1	0	0	0	0	0	0	0	0	7	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0
"OTU1194"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU6368"	0	0	0	0	0	0	0	2	3	2	3	0	0	0	0	0	0	2	0	0	1	1	5	0	0	0	0	0	7	18	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1
"OTU15550"	0	0	3	0	0	2	0	5	67	95	66	4	3	0	0	2	0	0	0	4	42	46	85	4	0	0	0	0	0	0	0	0	5	0	1	4	13	3	0	2	0	0	16	0	0	0	0	0	1	0	5	3	0	4	0	0
"OTU8859"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU2838"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU3"	659	614	1654	11	115	443	231	1040	2451	4942	4603	1203	293	2097	467	169	818	2698	1390	2081	3148	1341	785	1723	1609	1655	600	1140	158	0	0	0	882	146	742	504	888	1155	2964	0	4302	3785	25	3545	1258	9578	34	732	0	0	0	2	0	0	0	1
"OTU5988"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0
"OTU6431"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU1339"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	4	0	0	0	0	0	0	0	5	0	6	2	1	8	1	2	1
"OTU4103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
"OTU5092"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0
"OTU28389"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU24472"	0	0	0	0	0	0	2	19	20	15	36	0	0	0	0	0	0	0	0	0	13	1	30	15	5	3	0	3	21	50	0	16	0	0	0	0	0	6	7	0	0	1	35	0	11	9	0	0	0	1	0	0	0	1	0	0
"OTU16687"	0	0	0	0	2	0	3	0	0	0	2	0	4	0	0	0	0	0	6	0	0	0	1	0	3	0	0	3	1	23	0	10	3	0	0	1	0	1	0	2	1	1	3	7	2	3	0	0	0	0	0	0	0	0	0	0
"OTU1794"	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	2	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	33	10	0	0	0	0	0	0	0	0	0	0
"OTU18187"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	3	0	0	0	0	12	11	11	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU20905"	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	1	0	3	3	0	0	0	0	0	0	0	0	0	0	11	0	0	4	0	0	5	9	0	0	0	2	0	0	0	1	0	0	0	0	0
"OTU24174"	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	0	0	0	2	0	4	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
"OTU20543"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	25	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU1961"	0	2	0	3	0	0	2	0	0	0	0	4	2	0	0	1	0	1	0	2	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	1	0	1	0	0	0	3	3
"OTU29169"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU3384"	0	0	0	0	0	0	0	1	3	3	6	0	0	0	0	0	0	0	0	0	0	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU20526"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	2	0	0	0	0	3	0	0
"OTU26864"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU4078"	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	3	2	0	0	3	10	0	0	50	0	0	0	0	0	0	0	0	8	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"OTU4149"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	4	0	0	0	12	0	0	9	7	0	0	1	0	0	2	87	0	37	0	0	0	0	0	0	0	0	0	0
"OTU5530"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU1517"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU1301"	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	41	42	39	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU28907"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"OTU15736"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU3834"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"OTU2486"	0	0	0	2	0	11	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0
"OTU4067"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0
"OTU25343"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	63	50	0	0	0	0	0	0	0	0	0	0
"OTU5149"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU24710"	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU526"	4	9	9	6	0	16	10	0	15	0	0	6	2	0	10	16	0	0	4	7	0	1	0	0	3	3	2	20	3	1	0	0	0	7	0	3	4	0	0	12	1	0	0	0	0	0	3	0	2	2	10	4	4	8	7	5
"OTU28783"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
