"MERDSSG100"	"MERDSSG103"	"MERDSSG109"	"MERDSSG10"	"MERDSSG112"	"MERDSSG115"	"MERDSSG118"	"MERDSSG124"	"MERDSSG127"	"MERDSSG130"	"MERDSSG133"	"MERDSSG139"	"MERDSSG142"	"MERDSSG145"	"MERDSSG148"	"MERDSSG14"	"MERDSSG154"	"MERDSSG157"	"MERDSSG160"	"MERDSSG163"	"MERDSSG169"	"MERDSSG172"	"MERDSSG175"	"MERDSSG178"	"MERDSSG20"	"MERDSSG23"	"MERDSSG25"	"MERDSSG30"	"MERDSSG37"	"MERDSSG39"	"MERDSSG42"	"MERDSSG44"	"MERDSSG49"	"MERDSSG4"	"MERDSSG52"	"MERDSSG55"	"MERDSSG58"	"MERDSSG64"	"MERDSSG67"	"MERDSSG6"	"MERDSSG72"	"MERDSSG73"	"MERDSSG79"	"MERDSSG84"	"MERDSSG85"	"MERDSSG89"	"MERDSSG94"	"MERDSSG97"	"MERDSSGB2"	"MERDSSGB3"	"MERDSSGB4"	"MERDSSGB5"	"MERDSSGZ2"	"MERDSSGZ3"	"MERDSSGZ4"	"MERDSSGZ5"
"OTU20889"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"OTU73"	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	19	0	0	0	0	0	0	0	2	17	0	0	0	0	7	0	0
"OTU15"	62	26	57	169	56	178	74	0	0	0	0	167	122	54	53	60	55	47	71	57	0	1	0	0	74	29	18	61	0	0	0	0	50	74	53	122	20	73	20	54	11	17	0	0	0	0	34	26	144	82	74	69	90	99	181	72
"OTU170"	0	4	13	9	2	3	1	0	0	0	0	11	24	0	4	2	28	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	8	6	19	8	4	0	0	0	0	0	0	0	2	31	26	8	11	10	77	10	14
"OTU9"	79	33	91	244	62	204	141	7	0	0	0	192	235	68	118	73	94	28	119	101	0	0	0	0	111	57	44	68	0	0	0	0	66	110	164	100	57	104	50	98	9	91	0	0	0	1	58	92	272	166	182	158	123	326	289	146
"OTU883"	47	31	47	13	31	32	67	396	735	2351	482	11	14	52	7	32	51	18	33	10	67	206	16	185	18	28	31	73	1603	1212	0	1011	1	9	43	29	3	18	17	77	21	23	112	44	59	98	102	16	14	4	12	16	10	20	8	19
"OTU9598"	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0
"OTU203"	19	20	55	45	26	46	43	0	0	0	0	58	50	9	12	20	63	17	25	23	0	0	0	0	28	6	10	17	0	0	0	0	2	26	16	34	9	38	5	4	2	7	0	0	1	0	23	38	53	22	14	24	22	30	38	16
"OTU15915"	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0
"OTU3327"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	2	6	1	2
