"","OTU","average","av_Drought","av_Ambient","pval","Domain","Phylum","Class","Order","Family","Genus","Species","FDR_adj"
"1996","OTU21",0.000465625,1.125,10.125,0.005,"k:Bacteria","p:Latescibacteria","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"2013","OTU2112",7.5e-05,0,1.5,0.03,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:GR-WP33-30","UNKNOWN","UNKNOWN","UNKNOWN",1
"2050","OTU214",0.0001828125,0.5,3.875,0.045,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:PHOS-HE51","UNKNOWN","UNKNOWN",1
"2092","OTU21771",0.0005125,1.75,11.25,0.014,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_3","f:Unknown_Family","g:Bryobacter","UNKNOWN",1
"2149","OTU2208",9.0625e-05,1.875,0.125,0.021,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Bacillaceae","g:Bacillus","UNKNOWN",1
"2216","OTU2258",0.000284375,0.375,5.75,0.023,"k:Bacteria","p:Deinococcus-Thermus","c:Deinococci","o:Deinococcales","f:Deinococcaceae","g:Deinococcus","UNKNOWN",1
"2331","OTU23501",0.0001828125,2.125,3.75,0.044,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhodospirillales","f:Rhodospirillales_Incertae_Sedis","g:Reyranella","UNKNOWN",1
"2340","OTU2357",0.000290625,6.375,1.125,0.042,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","UNKNOWN","UNKNOWN","UNKNOWN",1
"2505","OTU24762",0.000234375,4.75,0.25,0.032,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Propionibacteriales","f:Nocardioidaceae","g:Nocardioides","UNKNOWN",1
"2549","OTU25195",0.00024375,0.625,5.125,0.021,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Caulobacterales","UNKNOWN","UNKNOWN","UNKNOWN",1
"2648","OTU26",0.0006578125,4.375,16.125,0.018,"k:Bacteria","p:Proteobacteria","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"2748","OTU27076",0.0001828125,4.125,0.875,0.048,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","f:Patulibacteraceae","g:Patulibacter","UNKNOWN",1
"2824","OTU2777",6.875e-05,1.375,0.25,0.024,"k:Bacteria","p:Chloroflexi","c:Ktedonobacteria","o:C0119","UNKNOWN","UNKNOWN","UNKNOWN",1
"2826","OTU27784",0.0001140625,2.375,0.25,0.022,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Frankiales","f:Geodermatophilaceae","g:Geodermatophilus","UNKNOWN",1
"2956","OTU2900",0.000440625,0.625,9.125,0.01,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Caulobacterales","f:Caulobacteraceae","g:Brevundimonas","UNKNOWN",1
"2981","OTU294",0.001059375,33.125,15.125,0.011,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","f:288-2","UNKNOWN","UNKNOWN",1
"3018","OTU2987",1e-04,0,2,0.004,"k:Bacteria","p:Latescibacteria","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"3047","OTU3049",0.0001046875,0.125,2.125,0.047,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Burkholderiales","f:Oxalobacteraceae","UNKNOWN","UNKNOWN",1
"3099","OTU314",0.004225,5.125,86.5,0.022,"k:Bacteria","p:Cyanobacteria","c:Cyanobacteria","o:SubsectionIII","f:FamilyI","UNKNOWN","UNKNOWN",1
"3165","OTU328",0.0002125,0,4.25,0.001,"k:Bacteria","p:Verrucomicrobia","c:OPB35_soil_group","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0.8715
"3253","OTU344",0.000753125,6.75,20.75,0.004,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Bradyrhizobiaceae","g:Bosea","UNKNOWN",1
"3306","OTU358",0.000165625,0.75,3.875,0.002,"k:Bacteria","p:Verrucomicrobia","c:Spartobacteria","o:Chthoniobacterales","f:Chthoniobacteraceae","g:Chthoniobacter","UNKNOWN",1
"3488","OTU4",0.0649765625,1714.625,575.5,0.01,"k:Bacteria","p:Proteobacteria","c:Gammaproteobacteria","o:Pseudomonadales","f:Pseudomonadaceae","g:Pseudomonas","UNKNOWN",1
"3704","OTU4544",0.000303125,7.625,2.625,0.033,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Bacillaceae","g:Bacillus","UNKNOWN",1
"3729","OTU462",0.0002859375,7,1.75,0.01,"k:Bacteria","p:Actinobacteria","c:Acidimicrobiia","o:Acidimicrobiales","f:Acidimicrobiaceae","g:CL500-29_marine_group","UNKNOWN",1
"3738","OTU465",0.0002203125,2.375,4.875,0.021,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_11","UNKNOWN","UNKNOWN","UNKNOWN",1
"3785","OTU478",0.0004625,10.625,2.625,0.045,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Gaiellales","f:Gaiellaceae","g:Gaiella","UNKNOWN",1
"3877","OTU5041",8.75e-05,0,1.75,0.008,"k:Bacteria","p:Chloroflexi","c:Anaerolineae","o:Anaerolineales","f:Anaerolineaceae","UNKNOWN","UNKNOWN",1
"3889","OTU5089",3.75e-05,0,0.75,0.027,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhodospirillales","f:Rhodospirillales_Incertae_Sedis","g:Reyranella","UNKNOWN",1
"3911","OTU514",0.00068125,4.25,16.5,0.011,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Propionibacteriales","f:Nocardioidaceae","g:Nocardioides","UNKNOWN",1
"3918","OTU5158",9.53125e-05,0.125,2,0.01,"k:Bacteria","p:Planctomycetes","c:Phycisphaerae","o:WD2101_soil_group","UNKNOWN","UNKNOWN","UNKNOWN",1
"3933","OTU520",0.002228125,52.625,8.125,0.002,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Alicyclobacillaceae","g:Tumebacillus","UNKNOWN",1
"4037","OTU55",0.0006421875,18.875,6.375,0.011,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Gaiellales","UNKNOWN","UNKNOWN","UNKNOWN",1
"4148","OTU5833",0.00365,145.375,103.375,0.029,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Burkholderiales","f:Burkholderiaceae","g:Cupriavidus","UNKNOWN",1
"4325","OTU637",0.0003875,10.75,4,0.04,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_3","f:Unknown_Family","g:Bryobacter","UNKNOWN",1
"4329","OTU6394",0.0004375,12.75,5,0.018,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Propionibacteriales","f:Nocardioidaceae","UNKNOWN","UNKNOWN",1
"4367","OTU6546",0.0002796875,6.375,0.875,0.009,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Frankiales","UNKNOWN","UNKNOWN","UNKNOWN",1
"4442","OTU676",0.0028765625,1.5,58.375,0.036,"k:Bacteria","p:Proteobacteria","c:Gammaproteobacteria","o:Xanthomonadales","f:Xanthomonadaceae","g:Lysobacter","UNKNOWN",1
"4458","OTU68",0.000690625,29,16.5,0.028,"k:Bacteria","p:Gemmatimonadetes","c:Gemmatimonadetes","o:Gemmatimonadales","f:Gemmatimonadaceae","UNKNOWN","UNKNOWN",1
"4565","OTU719",0.0007671875,17,2.625,0.014,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","UNKNOWN","UNKNOWN",1
"4623","OTU74",0.00198125,59,28.5,0.036,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Burkholderiales","f:Oxalobacteraceae","UNKNOWN","UNKNOWN",1
"4634","OTU745",0.000121875,2.5,0.25,0.04,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Gaiellales","UNKNOWN","UNKNOWN","UNKNOWN",1
"4636","OTU7469",0.000153125,3.25,0.25,0.003,"k:Bacteria","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"4646","OTU751",0.00108125,1.5,23.125,0.001,"k:Bacteria","p:Verrucomicrobia","c:Verrucomicrobiae","o:Verrucomicrobiales","f:Verrucomicrobiaceae","g:Luteolibacter","UNKNOWN",0.8715
"4655","OTU7549",0.0001703125,3.5,0.25,0.024,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Frankiales","UNKNOWN","UNKNOWN","UNKNOWN",1
"4721","OTU777",0.0019640625,6,42.5,0.015,"k:Bacteria","p:Proteobacteria","c:Gammaproteobacteria","o:Pseudomonadales","f:Moraxellaceae","g:Perlucidibaca","UNKNOWN",1
"4846","OTU824",0.00016875,3.75,0.5,0.002,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Paenibacillaceae","g:Paenibacillus","UNKNOWN",1
"4888","OTU842",0.0002890625,2,7.5,0.004,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Desulfurellales","f:Desulfurellaceae","UNKNOWN","UNKNOWN",1
"4898","OTU847",0.0004890625,1.875,11.125,0.012,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Bdellovibrionales","f:Bdellovibrionaceae","g:Bdellovibrio","UNKNOWN",1
"4905","OTU851",0.0003765625,8.875,2.625,0.048,"k:Bacteria","p:Actinobacteria","c:Acidimicrobiia","o:Acidimicrobiales","UNKNOWN","UNKNOWN","UNKNOWN",1
"4960","OTU874",0.0001453125,2.875,1,0.013,"k:Bacteria","p:Gemmatimonadetes","c:Gemmatimonadetes","o:Gemmatimonadales","f:Gemmatimonadaceae","g:Gemmatimonas","UNKNOWN",1
"5079","OTU927",0.000215625,0.25,4.375,0.027,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Myxococcales","f:bacteriap25","UNKNOWN","UNKNOWN",1
