Plant_Number,date,Rdate,exp_days,num_germinates,volunteer_dicot,num_removed
26,6_20,6/20/2018,8,2,0,1
27,6_20,6/20/2018,8,1,0,0
28,6_20,6/20/2018,8,0,0,0
29,6_20,6/20/2018,8,0,0,0
30,6_20,6/20/2018,8,2,0,1
31,6_20,6/20/2018,8,0,0,0
32,6_20,6/20/2018,8,0,0,0
33,6_20,6/20/2018,8,0,0,0
34,6_20,6/20/2018,8,0,0,0
35,6_20,6/20/2018,8,0,0,0
36,6_20,6/20/2018,8,0,0,0
37,6_20,6/20/2018,8,2,0,1
38,6_20,6/20/2018,8,0,0,0
39,6_20,6/20/2018,8,1,0,0
40,6_20,6/20/2018,8,0,0,0
41,6_20,6/20/2018,8,0,0,0
42,6_20,6/20/2018,8,2,0,1
43,6_20,6/20/2018,8,0,0,0
44,6_20,6/20/2018,8,1,0,0
45,6_20,6/20/2018,8,0,0,0
46,6_20,6/20/2018,8,0,0,0
47,6_20,6/20/2018,8,1,0,0
48,6_20,6/20/2018,8,1,0,0
49,6_20,6/20/2018,8,2,0,1
50,6_20,6/20/2018,8,1,0,0
51,6_20,6/20/2018,8,2,0,1
52,6_20,6/20/2018,8,2,0,1
53,6_20,6/20/2018,8,0,0,0
54,6_20,6/20/2018,8,2,0,1
55,6_20,6/20/2018,8,3,0,2
56,6_20,6/20/2018,8,1,0,0
57,6_20,6/20/2018,8,1,0,0
58,6_20,6/20/2018,8,3,0,2
59,6_20,6/20/2018,8,2,0,1
60,6_20,6/20/2018,8,1,0,0
61,6_20,6/20/2018,8,0,0,0
62,6_20,6/20/2018,8,1,0,0
63,6_20,6/20/2018,8,0,0,0
64,6_20,6/20/2018,8,2,0,1
65,6_20,6/20/2018,8,1,0,0
66,6_20,6/20/2018,8,0,0,0
67,6_20,6/20/2018,8,1,0,0
68,6_20,6/20/2018,8,3,0,2
69,6_20,6/20/2018,8,2,0,1
70,6_20,6/20/2018,8,0,0,0
71,6_20,6/20/2018,8,0,1,0
72,6_20,6/20/2018,8,1,1,0
73,6_20,6/20/2018,8,2,0,1
74,6_20,6/20/2018,8,1,0,0
75,6_20,6/20/2018,8,2,0,1
76,6_20,6/20/2018,8,1,0,0
77,6_20,6/20/2018,8,2,0,1
78,6_20,6/20/2018,8,0,0,0
79,6_20,6/20/2018,8,0,0,0
80,6_20,6/20/2018,8,0,0,0
81,6_20,6/20/2018,8,0,0,0
82,6_20,6/20/2018,8,0,0,0
83,6_20,6/20/2018,8,0,0,0
84,6_20,6/20/2018,8,0,0,0
85,6_20,6/20/2018,8,1,0,0
86,6_20,6/20/2018,8,0,0,0
87,6_20,6/20/2018,8,0,0,0
88,6_20,6/20/2018,8,0,0,0
89,6_20,6/20/2018,8,0,0,0
90,6_20,6/20/2018,8,0,0,0
1,6_21,6/21/2018,9,0,0,0
2,6_21,6/21/2018,9,1,0,0
3,6_21,6/21/2018,9,0,0,0
4,6_21,6/21/2018,9,1,0,0
5,6_21,6/21/2018,9,0,0,0
6,6_21,6/21/2018,9,1,0,0
7,6_21,6/21/2018,9,0,0,0
8,6_21,6/21/2018,9,0,0,0
9,6_21,6/21/2018,9,0,0,0
10,6_21,6/21/2018,9,1,0,0
11,6_21,6/21/2018,9,1,0,0
12,6_21,6/21/2018,9,1,0,0
13,6_21,6/21/2018,9,0,0,0
14,6_21,6/21/2018,9,1,0,0
15,6_21,6/21/2018,9,0,0,0
16,6_21,6/21/2018,9,0,0,0
17,6_21,6/21/2018,9,0,0,0
18,6_21,6/21/2018,9,1,0,0
19,6_21,6/21/2018,9,0,0,0
20,6_21,6/21/2018,9,1,0,0
21,6_21,6/21/2018,9,1,0,0
