Plant_Number,date,Rdate,exp_days,num_germinates,volunteer_dicot,num_removed
42,6_17,6/17/2018,5,0,0,0
43,6_17,6/17/2018,5,0,0,0
44,6_17,6/17/2018,5,1,0,0
45,6_17,6/17/2018,5,0,0,0
46,6_17,6/17/2018,5,0,0,0
47,6_17,6/17/2018,5,0,0,0
48,6_17,6/17/2018,5,1,0,0
49,6_17,6/17/2018,5,1,0,0
50,6_17,6/17/2018,5,0,0,0
51,6_17,6/17/2018,5,0,1,0
52,6_17,6/17/2018,5,1,2,0
53,6_17,6/17/2018,5,0,2,0
54,6_17,6/17/2018,5,1,0,0
55,6_17,6/17/2018,5,2,2,0
56,6_17,6/17/2018,5,0,2,0
57,6_17,6/17/2018,5,1,1,0
58,6_17,6/17/2018,5,2,0,0
59,6_17,6/17/2018,5,2,0,0
60,6_17,6/17/2018,5,0,0,0
61,6_17,6/17/2018,5,0,0,0
62,6_17,6/17/2018,5,0,0,0
63,6_17,6/17/2018,5,0,0,0
64,6_17,6/17/2018,5,0,0,0
65,6_17,6/17/2018,5,1,0,0
66,6_17,6/17/2018,5,0,0,0
67,6_17,6/17/2018,5,1,0,0
68,6_17,6/17/2018,5,3,0,0
69,6_17,6/17/2018,5,2,0,0
70,6_17,6/17/2018,5,0,0,0
71,6_17,6/17/2018,5,0,0,0
72,6_17,6/17/2018,5,1,0,0
73,6_17,6/17/2018,5,0,0,0
74,6_17,6/17/2018,5,1,0,0
75,6_17,6/17/2018,5,1,0,0
76,6_17,6/17/2018,5,0,0,0
77,6_17,6/17/2018,5,0,0,0
78,6_17,6/17/2018,5,0,0,0
79,6_17,6/17/2018,5,0,0,0
80,6_17,6/17/2018,5,0,0,0
81,6_17,6/17/2018,5,0,0,0
82,6_17,6/17/2018,5,0,0,0
83,6_17,6/17/2018,5,0,0,0
84,6_17,6/17/2018,5,0,0,0
85,6_17,6/17/2018,5,1,0,0
86,6_17,6/17/2018,5,0,0,0
87,6_17,6/17/2018,5,0,0,0
88,6_17,6/17/2018,5,0,0,0
89,6_17,6/17/2018,5,0,0,0
90,6_17,6/17/2018,5,0,0,0
1,6_18,6/18/2018,6,0,0,0
2,6_18,6/18/2018,6,1,0,0
3,6_18,6/18/2018,6,0,0,0
4,6_18,6/18/2018,6,1,0,0
5,6_18,6/18/2018,6,0,0,0
6,6_18,6/18/2018,6,2,0,0
7,6_18,6/18/2018,6,0,0,0
8,6_18,6/18/2018,6,0,0,0
9,6_18,6/18/2018,6,0,0,0
10,6_18,6/18/2018,6,1,1,0
11,6_18,6/18/2018,6,2,1,0
12,6_18,6/18/2018,6,1,0,0
13,6_18,6/18/2018,6,0,0,0
14,6_18,6/18/2018,6,1,0,0
15,6_18,6/18/2018,6,0,0,0
16,6_18,6/18/2018,6,0,0,0
17,6_18,6/18/2018,6,0,0,0
18,6_18,6/18/2018,6,1,0,0
19,6_18,6/18/2018,6,0,0,0
20,6_18,6/18/2018,6,1,0,0
21,6_18,6/18/2018,6,1,0,0
22,6_18,6/18/2018,6,1,0,0
23,6_18,6/18/2018,6,2,0,0
24,6_18,6/18/2018,6,0,0,0
25,6_18,6/18/2018,6,1,0,0
26,6_18,6/18/2018,6,2,0,0
27,6_18,6/18/2018,6,1,0,0
28,6_18,6/18/2018,6,0,1,0
29,6_18,6/18/2018,6,0,0,0
30,6_18,6/18/2018,6,2,0,0
31,6_18,6/18/2018,6,0,0,0
32,6_18,6/18/2018,6,0,0,0
33,6_18,6/18/2018,6,0,0,0
34,6_18,6/18/2018,6,0,0,0
35,6_18,6/18/2018,6,0,0,0
36,6_18,6/18/2018,6,0,0,0
37,6_18,6/18/2018,6,2,0,0
38,6_18,6/18/2018,6,0,0,0
39,6_18,6/18/2018,6,1,0,0
40,6_18,6/18/2018,6,0,0,0
41,6_18,6/18/2018,6,0,0,0
42,6_18,6/18/2018,6,2,0,0
43,6_18,6/18/2018,6,0,0,0
44,6_18,6/18/2018,6,1,0,0
45,6_18,6/18/2018,6,0,0,0
46,6_18,6/18/2018,6,0,0,0
47,6_18,6/18/2018,6,1,0,0
48,6_18,6/18/2018,6,1,0,0
49,6_18,6/18/2018,6,2,0,0
50,6_18,6/18/2018,6,1,1,0
51,6_18,6/18/2018,6,1,0,0
52,6_18,6/18/2018,6,2,1,0
53,6_18,6/18/2018,6,0,0,0
54,6_18,6/18/2018,6,1,0,0
55,6_18,6/18/2018,6,1,1,0
56,6_18,6/18/2018,6,2,2,0
57,6_18,6/18/2018,6,1,0,0
58,6_18,6/18/2018,6,2,0,0
59,6_18,6/18/2018,6,2,0,0
60,6_18,6/18/2018,6,0,0,0
61,6_18,6/18/2018,6,0,1,0
62,6_18,6/18/2018,6,1,0,0
63,6_18,6/18/2018,6,0,0,0
64,6_18,6/18/2018,6,2,0,0
65,6_18,6/18/2018,6,1,0,0
66,6_18,6/18/2018,6,0,0,0
67,6_18,6/18/2018,6,1,0,0
68,6_18,6/18/2018,6,3,0,0
69,6_18,6/18/2018,6,2,1,0
70,6_18,6/18/2018,6,0,0,0
71,6_18,6/18/2018,6,0,0,0
72,6_18,6/18/2018,6,1,0,0
73,6_18,6/18/2018,6,2,1,0
74,6_18,6/18/2018,6,1,0,0
75,6_18,6/18/2018,6,2,0,0
76,6_18,6/18/2018,6,0,0,0
77,6_18,6/18/2018,6,0,0,0
78,6_18,6/18/2018,6,0,0,0
79,6_18,6/18/2018,6,0,0,0
80,6_18,6/18/2018,6,0,0,0
81,6_18,6/18/2018,6,0,0,0
82,6_18,6/18/2018,6,0,0,0
83,6_18,6/18/2018,6,0,0,0
84,6_18,6/18/2018,6,0,0,0
85,6_18,6/18/2018,6,1,0,0
86,6_18,6/18/2018,6,0,0,0
87,6_18,6/18/2018,6,0,0,0
88,6_18,6/18/2018,6,0,0,0
89,6_18,6/18/2018,6,0,0,0
90,6_18,6/18/2018,6,0,0,0
1,6_19,6/19/2018,7,0,0,0
2,6_19,6/19/2018,7,1,0,0
3,6_19,6/19/2018,7,0,0,0
4,6_19,6/19/2018,7,1,0,0
5,6_19,6/19/2018,7,0,0,0
6,6_19,6/19/2018,7,2,0,0
7,6_19,6/19/2018,7,0,0,0
8,6_19,6/19/2018,7,0,0,0
9,6_19,6/19/2018,7,0,0,0
10,6_19,6/19/2018,7,1,0,0
11,6_19,6/19/2018,7,2,0,0
12,6_19,6/19/2018,7,1,0,0
13,6_19,6/19/2018,7,0,0,0
14,6_19,6/19/2018,7,1,0,0
15,6_19,6/19/2018,7,0,0,0
16,6_19,6/19/2018,7,0,0,0
17,6_19,6/19/2018,7,0,0,0
18,6_19,6/19/2018,7,2,0,0
19,6_19,6/19/2018,7,0,0,0
20,6_19,6/19/2018,7,1,0,0
21,6_19,6/19/2018,7,1,0,0
22,6_19,6/19/2018,7,1,0,0
23,6_19,6/19/2018,7,2,0,0
24,6_19,6/19/2018,7,0,0,0
25,6_19,6/19/2018,7,1,0,0
26,6_19,6/19/2018,7,2,0,0
27,6_19,6/19/2018,7,1,0,0
28,6_19,6/19/2018,7,0,0,0
29,6_19,6/19/2018,7,0,0,0
30,6_19,6/19/2018,7,2,0,0
31,6_19,6/19/2018,7,0,0,0
32,6_19,6/19/2018,7,0,0,0
33,6_19,6/19/2018,7,0,0,0
34,6_19,6/19/2018,7,0,0,0
35,6_19,6/19/2018,7,0,0,0
36,6_19,6/19/2018,7,0,0,0
37,6_19,6/19/2018,7,2,0,0
38,6_19,6/19/2018,7,0,0,0
39,6_19,6/19/2018,7,1,0,0
40,6_19,6/19/2018,7,0,0,0
41,6_19,6/19/2018,7,0,0,0
42,6_19,6/19/2018,7,2,0,0
43,6_19,6/19/2018,7,0,0,0
44,6_19,6/19/2018,7,1,0,0
45,6_19,6/19/2018,7,0,0,0
46,6_19,6/19/2018,7,0,0,0
47,6_19,6/19/2018,7,1,0,0
48,6_19,6/19/2018,7,1,0,0
49,6_19,6/19/2018,7,2,0,0
50,6_19,6/19/2018,7,1,0,0
51,6_19,6/19/2018,7,1,0,0
52,6_19,6/19/2018,7,2,0,0
53,6_19,6/19/2018,7,0,0,0
54,6_19,6/19/2018,7,1,0,0
55,6_19,6/19/2018,7,2,0,0
56,6_19,6/19/2018,7,1,0,0
57,6_19,6/19/2018,7,1,0,0
58,6_19,6/19/2018,7,3,0,0
59,6_19,6/19/2018,7,2,0,0
60,6_19,6/19/2018,7,1,0,0
61,6_19,6/19/2018,7,0,0,0
62,6_19,6/19/2018,7,1,0,0
63,6_19,6/19/2018,7,0,0,0
64,6_19,6/19/2018,7,2,0,0
65,6_19,6/19/2018,7,1,0,0
66,6_19,6/19/2018,7,0,0,0
67,6_19,6/19/2018,7,1,0,0
68,6_19,6/19/2018,7,3,0,0
69,6_19,6/19/2018,7,2,0,0
70,6_19,6/19/2018,7,0,0,0
71,6_19,6/19/2018,7,1,0,0
72,6_19,6/19/2018,7,2,0,0
73,6_19,6/19/2018,7,2,0,0
74,6_19,6/19/2018,7,1,0,0
75,6_19,6/19/2018,7,2,0,0
76,6_19,6/19/2018,7,0,0,0
77,6_19,6/19/2018,7,0,0,0
78,6_19,6/19/2018,7,0,0,0
79,6_19,6/19/2018,7,0,0,0
80,6_19,6/19/2018,7,0,0,0
81,6_19,6/19/2018,7,0,0,0
82,6_19,6/19/2018,7,0,0,0
83,6_19,6/19/2018,7,0,0,0
84,6_19,6/19/2018,7,0,0,0
85,6_19,6/19/2018,7,1,0,0
86,6_19,6/19/2018,7,0,0,0
87,6_19,6/19/2018,7,0,0,0
88,6_19,6/19/2018,7,0,0,0
89,6_19,6/19/2018,7,0,0,0
90,6_19,6/19/2018,7,0,0,0
1,6_20,6/20/2018,8,0,0,0
2,6_20,6/20/2018,8,1,0,0
3,6_20,6/20/2018,8,0,0,0
4,6_20,6/20/2018,8,1,0,0
5,6_20,6/20/2018,8,0,0,0
6,6_20,6/20/2018,8,2,0,1
7,6_20,6/20/2018,8,0,0,0
8,6_20,6/20/2018,8,0,0,0
9,6_20,6/20/2018,8,0,0,0
10,6_20,6/20/2018,8,1,0,0
11,6_20,6/20/2018,8,2,0,1
12,6_20,6/20/2018,8,1,0,0
13,6_20,6/20/2018,8,0,0,0
14,6_20,6/20/2018,8,1,0,0
15,6_20,6/20/2018,8,0,0,0
16,6_20,6/20/2018,8,0,0,0
17,6_20,6/20/2018,8,0,0,0
18,6_20,6/20/2018,8,2,1,1
19,6_20,6/20/2018,8,0,0,0
20,6_20,6/20/2018,8,1,0,0
21,6_20,6/20/2018,8,1,0,0
22,6_20,6/20/2018,8,1,0,0
23,6_20,6/20/2018,8,2,0,1
24,6_20,6/20/2018,8,0,0,0
25,6_20,6/20/2018,8,1,0,0
