"","MERDSSG100","MERDSSG103","MERDSSG109","MERDSSG10","MERDSSG112","MERDSSG115","MERDSSG118","MERDSSG139","MERDSSG142","MERDSSG145","MERDSSG148","MERDSSG14","MERDSSG154","MERDSSG157","MERDSSG160","MERDSSG163","MERDSSG20","MERDSSG23","MERDSSG25","MERDSSG30","MERDSSG49","MERDSSG4","MERDSSG52","MERDSSG55","MERDSSG58","MERDSSG64","MERDSSG67","MERDSSG6","MERDSSG72","MERDSSG73","MERDSSG94","MERDSSG97"
"MERDSSG100",0,0.133700317272958,0.123795531525961,0.175273290875535,0.130898335350655,0.158546484321175,0.137565025826332,0.182630173983382,0.187570338657225,0.177302258503251,0.172122889495542,0.121897871427506,0.17333600647039,0.197833791338569,0.182430163224728,0.176478483644577,0.11957585835427,0.188969102499072,0.225984170025016,0.10332854409466,0.135451836549295,0.142199044724332,0.172086634114874,0.140160108222106,0.174851175166599,0.15830347611285,0.199382877888552,0.134107580584495,0.236716699638702,0.196230285687941,0.190767047931319,0.185603628655153
"MERDSSG103",0.133700317272958,0,0.118406913009194,0.172763728039655,0.12699237146348,0.147728330497158,0.117079117946419,0.16682257722558,0.180659306472242,0.169452720668407,0.118713492682832,0.0971401436389495,0.169313229008657,0.187682739373609,0.149284937165096,0.135331664630605,0.137234575696944,0.18940314808684,0.209622617510473,0.0940975226308721,0.140891538514799,0.138243070256394,0.150696049038795,0.147722920116296,0.133285608379362,0.140770995301741,0.18440803337555,0.137139726023504,0.216234807285189,0.158760844284875,0.17984957296471,0.18468032630746
"MERDSSG109",0.123795531525961,0.118406913009194,0,0.191953276852283,0.11420329298181,0.168260558739717,0.1337634013414,0.176181680727059,0.174872081375212,0.124629428642829,0.136894518999171,0.126980087192668,0.146340134171418,0.137515263639222,0.144036175589413,0.141290748255478,0.108648665829996,0.171131445470342,0.205933468780582,0.0937589294634423,0.139266856780206,0.156145520806754,0.136646081036798,0.141794608067506,0.151930226835253,0.121824665345744,0.143098264847816,0.126233892013424,0.183325577413937,0.132486906573849,0.159508798830156,0.142054992239432
"MERDSSG10",0.175273290875535,0.172763728039655,0.191953276852283,0,0.208951906344688,0.0702344892556778,0.113155716045716,0.111173737939155,0.12242919366439,0.252738336978947,0.183995184111155,0.159505715460517,0.185716446439518,0.267636802087944,0.209938040511184,0.183495280026828,0.195742615698562,0.277359254492036,0.325782806384788,0.175696331185088,0.147130332432337,0.0886729296366278,0.172463300463058,0.144357000933818,0.17406050234139,0.169937669542485,0.269071588327281,0.181403926549095,0.314382118274858,0.242507598335527,0.277451823423137,0.281005335622144
"MERDSSG112",0.130898335350655,0.12699237146348,0.11420329298181,0.208951906344688,0,0.186891998184341,0.14408572092176,0.182136838412256,0.182960580739537,0.135789117741583,0.135376710312241,0.138281930109488,0.165813174299611,0.152991887023171,0.143801126286047,0.146261575707463,0.0816577937738632,0.130656658078176,0.160017083278933,0.111402789778008,0.162969095007404,0.165202575743224,0.159217840151135,0.148194913119674,0.161464167055044,0.141732249907402,0.156825045474415,0.125689898155217,0.201541659181403,0.154724548744983,0.119161042774775,0.128469628554134
"MERDSSG115",0.158546484321175,0.147728330497158,0.168260558739717,0.0702344892556778,0.186891998184341,0,0.0954990578851869,0.109395252767349,0.117144452452424,0.2354004570944,0.162235637639353,0.133839865267601,0.183118966779618,0.246774423833741,0.189355297117514,0.163991997150802,0.181561295380192,0.264840364394199,0.302842395135398,0.145755172957933,0.133876450430129,0.0841026183598893,0.156109044511626,0.127416647064739,0.151086633822253,0.161192940286101,0.247907946005707,0.174905005824033,0.293202226484542,0.219626430110422,0.254969775773963,0.256478381561173
"MERDSSG118",0.137565025826332,0.117079117946419,0.1337634013414,0.113155716045716,0.14408572092176,0.0954990578851869,0,0.105921613305648,0.118023849796731,0.181760154711929,0.116351310736704,0.116412911039023,0.152146130170518,0.196264793161358,0.145718644575732,0.121897856317499,0.14606116130336,0.218445793976303,0.25445653023782,0.107770057661461,0.112870086860282,0.0973424066163397,0.128530135781582,0.0973944246627281,0.116496161280382,0.12327829983946,0.2002111695665,0.130626888622058,0.244610484360502,0.183402103314732,0.204378783641451,0.213999393927175
"MERDSSG139",0.182630173983382,0.16682257722558,0.176181680727059,0.111173737939155,0.182136838412256,0.109395252767349,0.105921613305648,0,0.0838667296568294,0.215508999508904,0.138596867516928,0.167677993566818,0.157868864465938,0.227030917018811,0.170430590108241,0.136909933425982,0.178584446028886,0.254330169702613,0.292214196365464,0.164637994825771,0.128703486753595,0.117476511523745,0.144394274270235,0.136355716639394,0.128181602545042,0.129127594480375,0.233321519699088,0.169832747894579,0.280958431489991,0.207846598693044,0.248385544603116,0.25229864031689
"MERDSSG142",0.187570338657225,0.180659306472242,0.174872081375212,0.12242919366439,0.182960580739537,0.117144452452424,0.118023849796731,0.0838667296568294,0,0.220295910136784,0.14483762294353,0.174521766065979,0.148233407760767,0.230131292973878,0.166659366596434,0.144653738761001,0.175996466808502,0.256071814781088,0.295166303301291,0.176488827046305,0.135978479606509,0.121435749346316,0.138021520671723,0.138003617970126,0.141279521965409,0.12270024036228,0.241579697237996,0.173113939263352,0.286413162245538,0.214990154432117,0.247322870583401,0.252418370830082
"MERDSSG145",0.177302258503251,0.169452720668407,0.124629428642829,0.252738336978947,0.135789117741583,0.2354004570944,0.181760154711929,0.215508999508904,0.220295910136784,0,0.154212786983799,0.183091011971263,0.170064691020528,0.108159061503056,0.127170319563045,0.15510907943491,0.150874266734234,0.152202434169537,0.150539259034016,0.146565705470132,0.188610681725612,0.216522624061183,0.181890758684229,0.171429666996874,0.187798254127918,0.151190815601552,0.105592548252814,0.157992537256104,0.139939475508574,0.113647427500062,0.13353115070836,0.120829181812578
"MERDSSG148",0.172122889495542,0.118713492682832,0.136894518999171,0.183995184111155,0.135376710312241,0.162235637639353,0.116351310736704,0.138596867516928,0.14483762294353,0.154212786983799,0,0.135659231417568,0.141882893025956,0.162546001274556,0.105494635623338,0.0904189251034429,0.148858848996947,0.192761108355942,0.216829210201573,0.117372969131591,0.136741997959909,0.151344237681401,0.135565068605209,0.135875942925685,0.106509452265899,0.114157242301843,0.174575604576655,0.133015646583965,0.218806961929838,0.154913930589758,0.173732963465836,0.195698973068272
"MERDSSG14",0.121897871427506,0.0971401436389495,0.126980087192668,0.159505715460517,0.138281930109488,0.133839865267601,0.116412911039023,0.167677993566818,0.174521766065979,0.183091011971263,0.135659231417568,0,0.183943281311143,0.202633669684423,0.174505270333465,0.157649203457056,0.132381213832066,0.202494648060036,0.228192561474849,0.0964348174900194,0.134891846045256,0.119840458890402,0.153683536724514,0.130911339951797,0.139906866358144,0.148691360027557,0.201928952884641,0.111783156317583,0.235176621349022,0.178594627131281,0.18247666121983,0.188768539839794
"MERDSSG154",0.17333600647039,0.169313229008657,0.146340134171418,0.185716446439518,0.165813174299611,0.183118966779618,0.152146130170518,0.157868864465938,0.148233407760767,0.170064691020528,0.141882893025956,0.183943281311143,0,0.156949508640534,0.132548455323843,0.127851509295452,0.168167808646063,0.210373283197917,0.246006769788805,0.153470291153872,0.146148455652597,0.166363600463296,0.126199087153077,0.161039587100297,0.144831566070984,0.105854325049651,0.172121088003862,0.161130451845232,0.223498526459064,0.164593282675248,0.213484098964781,0.200833591233648
"MERDSSG157",0.197833791338569,0.187682739373609,0.137515263639222,0.267636802087944,0.152991887023171,0.246774423833741,0.196264793161358,0.227030917018811,0.230131292973878,0.108159061503056,0.162546001274556,0.202633669684423,0.156949508640534,0,0.14018658339078,0.144463697906927,0.17091102559442,0.170775821022863,0.183925786945975,0.152342263228381,0.197013039692111,0.230539852782544,0.174014253198202,0.191975223569326,0.182519050581596,0.165027249973442,0.0887967895781968,0.171408576613079,0.134546793105298,0.107568124396585,0.159013826476859,0.141903162238406
"MERDSSG160",0.182430163224728,0.149284937165096,0.144036175589413,0.209938040511184,0.143801126286047,0.189355297117514,0.145718644575732,0.170430590108241,0.166659366596434,0.127170319563045,0.105494635623338,0.174505270333465,0.132548455323843,0.14018658339078,0,0.0992045936796225,0.157367212853741,0.191192239550467,0.191746394960692,0.134710742659112,0.149205631497299,0.178116108101289,0.13760693452694,0.143918609209337,0.13791647440899,0.115072972104076,0.161196228539413,0.147416066467587,0.199450047037231,0.145047839892335,0.175235418045345,0.176300024758146
