"","OTU","average","av_Trans","av_Seed","pval","Domain","Phylum","Class","Order","Family","Genus","Species","FDR_adj"
"774","OTU625",0.00128571428571429,0,25.7142857142857,0.023,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Flavisolibacter","UNKNOWN",0.53475
"778","OTU63",0.0135071428571429,324,62.2857142857143,0.002,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Sphingobium","UNKNOWN",0.143076923076923
"791","OTU664",0.0035,0,70,0.006,"k:Bacteria","p:Armatimonadetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0.253636363636364
"802","OTU687",0.00229107142857143,46,0.285714285714286,0.025,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Burkholderiales","f:Comamonadaceae","UNKNOWN","UNKNOWN",0.553571428571429
"827","OTU740",0.00246339285714286,50.625,1.42857142857143,0.01,"k:Bacteria","p:Bacteroidetes","c:Cytophagia","o:Cytophagales","f:Cytophagaceae","g:Dyadobacter","UNKNOWN",0.357692307692308
"862","OTU804",0.000423214285714286,0.75,8.57142857142857,0.025,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Planococcaceae","UNKNOWN","UNKNOWN",0.553571428571429
"873","OTU8270",7.85714285714286e-05,0,1.57142857142857,0.028,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Paenibacillaceae","g:Paenibacillus","UNKNOWN",0.554042553191489
"897","OTU90",0.000127678571428571,0.375,2.71428571428571,0.01,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Planococcaceae","g:Lysinibacillus","UNKNOWN",0.357692307692308
"898","OTU900",0.001025,6.25,24.1428571428571,0.017,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:alphaI_cluster","UNKNOWN","UNKNOWN",0.479090909090909
"918","OTU9627",0.000266964285714286,7.625,2.71428571428571,0.03,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Sphingomonas","UNKNOWN",0.569387755102041
