"","OTU","average","av_Drought","av_Ambient","pval","Domain","Phylum","Class","Order","Family","Genus","Species","FDR_adj"
"1787","OTU1950",8.75e-05,2.5,1.125,0.032,"k:Bacteria","p:Actinobacteria","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"1915","OTU2028",0.0003765625,0.5,7.875,0.005,"k:Bacteria","p:Verrucomicrobia","c:Verrucomicrobiae","o:Verrucomicrobiales","f:Verrucomicrobiaceae","g:Prosthecobacter","UNKNOWN",1
"1973","OTU20502",0.0002546875,1.25,5.875,0.011,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Nitrosomonadales","f:Nitrosomonadaceae","UNKNOWN","UNKNOWN",1
"2026","OTU20770",0.000334375,4.125,8.5,0.016,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Methylobacteriaceae","UNKNOWN","UNKNOWN",1
"2045","OTU20834",0.0002625,5.75,0.625,0.004,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","UNKNOWN","UNKNOWN","UNKNOWN",1
"2091","OTU21092",1e-04,0,2,0.024,"k:Bacteria","p:Nitrospirae","c:Nitrospira","o:Nitrospirales","f:Nitrospiraceae","g:Nitrospira","UNKNOWN",1
"2121","OTU2132",0.000334375,7.625,1.125,0.009,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","f:Solirubrobacteraceae","g:Solirubrobacter","UNKNOWN",1
"2133","OTU214",0.0001890625,0.125,3.875,0.003,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:PHOS-HE51","UNKNOWN","UNKNOWN",1
"2200","OTU219",0.0002421875,0.625,5.25,0.013,"k:Bacteria","p:Verrucomicrobia","c:OPB35_soil_group","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"2205","OTU2192",5.625e-05,0,1.125,0.031,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Desulfobacterales","f:Nitrospinaceae","g:Candidatus_Entotheonella","UNKNOWN",1
"2225","OTU2202",0.0001671875,4.25,1.25,0.024,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","UNKNOWN","UNKNOWN","UNKNOWN",1
"2342","OTU22890",7.96875e-05,0.375,1.75,0.049,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Micromonosporales","f:Micromonosporaceae","UNKNOWN","UNKNOWN",1
"2406","OTU2341",0.0002296875,1.375,5.375,0.029,"k:Archaea","p:Thaumarchaeota","c:Soil_Crenarchaeotic_Group[SCG]","o:Unknown_Order","UNKNOWN","UNKNOWN","UNKNOWN",1
"2633","OTU2509",0.0001625,0.25,3.375,0.006,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_4","f:11-24","UNKNOWN","UNKNOWN",1
"2663","OTU2533",5e-05,0,1,0.031,"k:Bacteria","p:Planctomycetes","c:Planctomycetacia","o:Planctomycetales","f:Planctomycetaceae","UNKNOWN","UNKNOWN",1
"2720","OTU2582",0.0001390625,3,0.375,0.018,"k:Bacteria","p:Gemmatimonadetes","c:Gemmatimonadetes","o:Gemmatimonadales","f:Gemmatimonadaceae","UNKNOWN","UNKNOWN",1
"2722","OTU2588",0.00023125,0,4.625,0.002,"k:Bacteria","p:Proteobacteria","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0.999818181818182
"2748","OTU2612",0.00029375,0,5.875,0.002,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","UNKNOWN","UNKNOWN",0.999818181818182
"2820","OTU26800",7.5e-05,0.375,1.5,0.038,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Nitrosomonadales","f:Nitrosomonadaceae","UNKNOWN","UNKNOWN",1
"2835","OTU2691",0.0001765625,4.125,1.375,0.036,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","f:480-2","UNKNOWN","UNKNOWN",1
"2847","OTU27076",0.000103125,2.25,0.625,0.045,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","f:Patulibacteraceae","g:Patulibacter","UNKNOWN",1
"2859","OTU272",0.0002640625,6.75,2.125,0.018,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Frankiales","f:Frankiaceae","UNKNOWN","UNKNOWN",1
"2973","OTU2819",4.375e-05,0,0.875,0.03,"k:Bacteria","p:Planctomycetes","c:Planctomycetacia","o:Planctomycetales","f:Planctomycetaceae","g:Pir4_lineage","UNKNOWN",1
"3071","OTU290",0.000178125,3.75,0.5,0.038,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Flavitalea","UNKNOWN",1
"3097","OTU294",0.0010578125,32.875,15.75,0.033,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","f:288-2","UNKNOWN","UNKNOWN",1
"3204","OTU311",0.0001703125,1,4,0.047,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Rhizobiales_Incertae_Sedis","g:Bauldia","UNKNOWN",1
"3210","OTU3122",0.0005484375,15.375,5.25,0.013,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Frankiales","UNKNOWN","UNKNOWN","UNKNOWN",1
"3229","OTU3176",0.00010625,0.25,2.25,0.02,"k:Bacteria","p:Verrucomicrobia","c:Spartobacteria","o:Chthoniobacterales","f:DA101_soil_group","UNKNOWN","UNKNOWN",1
"3258","OTU3230",0.0001703125,0.5,3.75,0.012,"k:Bacteria","p:Proteobacteria","c:Gammaproteobacteria","o:Xanthomonadales","f:Xanthomonadales_Incertae_Sedis","g:Acidibacter","UNKNOWN",1
"3280","OTU327",0.0001671875,1.125,3.75,0.043,"k:Bacteria","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"3283","OTU328",0.000190625,1.625,5.125,0.011,"k:Bacteria","p:Verrucomicrobia","c:OPB35_soil_group","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"3292","OTU3301",0.00011875,0,2.375,0.006,"k:Bacteria","p:Planctomycetes","c:BD7-11","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"3295","OTU331",8.4375e-05,0.125,1.75,0.025,"k:Bacteria","p:Bacteroidetes","c:Cytophagia","o:Cytophagales","f:Cytophagaceae","g:Chryseolinea","UNKNOWN",1
"3321","OTU3364",4e-04,0,8,0.002,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Flavisolibacter","UNKNOWN",0.999818181818182
"3345","OTU3416",0.000109375,0.125,2.25,0.021,"k:Bacteria","p:Planctomycetes","c:Planctomycetacia","o:Planctomycetales","f:Planctomycetaceae","g:Pirellula","UNKNOWN",1
"3385","OTU35",0.0003921875,2.125,8.375,0.042,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_3","f:Unknown_Family","g:Bryobacter","UNKNOWN",1
"3410","OTU356",0.000121875,0.125,2.5,0.026,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_5","UNKNOWN","UNKNOWN","UNKNOWN",1
"3432","OTU3603",0.0004875,11.25,3.375,0.032,"k:Bacteria","p:Gemmatimonadetes","c:Gemmatimonadetes","o:Gemmatimonadales","f:Gemmatimonadaceae","g:Gemmatimonas","UNKNOWN",1
"3487","OTU370",0.0001796875,2.125,5.25,0.016,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_3","f:Unknown_Family","g:Candidatus_Solibacter","UNKNOWN",1
"3524","OTU378",0.000178125,1.25,4.375,0.025,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Methylobacteriaceae","g:Methylobacterium","UNKNOWN",1
"3692","OTU42",0.0006765625,21.625,34.25,0.009,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Xanthobacteraceae","g:Variibacter","UNKNOWN",1
"3719","OTU4254",0.0001203125,0.375,2.5,0.03,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Terrimonas","UNKNOWN",1
"3752","OTU433",0.000378125,6.125,13,0.022,"k:Archaea","p:Thaumarchaeota","c:Soil_Crenarchaeotic_Group[SCG]","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"3821","OTU450",0.0004109375,0.625,8.75,0.002,"k:Bacteria","p:Verrucomicrobia","c:OPB35_soil_group","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0.999818181818182
"3855","OTU4584",0.000125,2.5,0,0.006,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Sphingomonas","UNKNOWN",1
"3934","OTU478",0.00035625,10,4.375,0.035,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Gaiellales","f:Gaiellaceae","g:Gaiella","UNKNOWN",1
"3942","OTU4801",1e-04,0,2,0.03,"k:Bacteria","p:TM6","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"3972","OTU488",0.0001703125,0.125,3.5,0.002,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Myxococcales","f:BIrii41","UNKNOWN","UNKNOWN",0.999818181818182
"3983","OTU4911",5.625e-05,0.25,1.25,0.037,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:KF-JG30-B3","UNKNOWN","UNKNOWN",1
"3988","OTU4921",0.0001171875,2.375,0.5,0.046,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"3995","OTU494",0.000109375,2.375,0.375,0.012,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Frankiales","f:Acidothermaceae","g:Acidothermus","UNKNOWN",1
"4020","OTU501",0.0001109375,0.125,2.25,0.039,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_5","UNKNOWN","UNKNOWN","UNKNOWN",1
"4022","OTU5011",0.0001875,3.75,0,0.028,"k:Bacteria","p:Cyanobacteria","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"4032","OTU5041",6.875e-05,0,1.375,0.03,"k:Bacteria","p:Chloroflexi","c:Anaerolineae","o:Anaerolineales","f:Anaerolineaceae","UNKNOWN","UNKNOWN",1
"4107","OTU524",0.0010578125,25.375,43.5,0.025,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Xanthobacteraceae","UNKNOWN","UNKNOWN",1
"4125","OTU529",0.0003328125,1.5,7.375,0.018,"k:Bacteria","p:Gemmatimonadetes","c:Gemmatimonadetes","o:Gemmatimonadales","f:Gemmatimonadaceae","UNKNOWN","UNKNOWN",1
"4140","OTU534",0.00018125,0,3.625,0.03,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:PHOS-HE51","UNKNOWN","UNKNOWN",1
"4151","OTU5361",6.875e-05,0,1.375,0.026,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Bdellovibrionales","f:Bdellovibrionaceae","g:Bdellovibrio","UNKNOWN",1
"4207","OTU550",0.00025625,0.5,5.375,0.015,"k:Bacteria","p:Verrucomicrobia","c:Spartobacteria","o:Chthoniobacterales","f:Chthoniobacteraceae","g:Chthoniobacter","UNKNOWN",1
"4211","OTU5511",6.875e-05,0,1.375,0.006,"k:Bacteria","p:Chlamydiae","c:Chlamydiae","o:Chlamydiales","f:Simkaniaceae","g:Candidatus_Rhabdochlamydia","UNKNOWN",1
"4239","OTU5580",0.00011875,2.375,0,0.021,"k:Bacteria","p:Cyanobacteria","c:ML635J-21","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"4296","OTU575",0.00019375,0.375,4.125,0.006,"k:Bacteria","p:Gemmatimonadetes","c:Gemmatimonadetes","o:Gemmatimonadales","f:Gemmatimonadaceae","UNKNOWN","UNKNOWN",1
"4323","OTU5833",0.00624375,208.5,101.5,0.014,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Burkholderiales","f:Burkholderiaceae","g:Cupriavidus","UNKNOWN",1
"4374","OTU596",0.0002390625,2.75,6.375,0.034,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Myxococcales","f:Polyangiaceae","g:Byssovorax","UNKNOWN",1
"4410","OTU6042",9.375e-05,1.875,0,0.005,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","f:0319-6M6","UNKNOWN","UNKNOWN",1
"4425","OTU610",9.6875e-05,0.5,2.25,0.035,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Nitrosomonadales","f:Nitrosomonadaceae","UNKNOWN","UNKNOWN",1
"4448","OTU6181",7.34375e-05,0.125,1.5,0.038,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhodospirillales","f:Rhodospirillaceae","UNKNOWN","UNKNOWN",1
"4449","OTU6183",8.75e-05,1.75,0,0.03,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"4479","OTU625",0.000165625,3.375,0.375,0.024,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Flavisolibacter","UNKNOWN",1
"4539","OTU6404",7.96875e-05,0.125,1.625,0.036,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_6","UNKNOWN","UNKNOWN","UNKNOWN",1
"4576","OTU6546",0.00048125,10.875,1.25,0.002,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Frankiales","UNKNOWN","UNKNOWN","UNKNOWN",0.999818181818182
"4605","OTU661",0.00014375,1.125,3.875,0.002,"k:Bacteria","p:Planctomycetes","c:Planctomycetacia","o:Planctomycetales","f:Planctomycetaceae","UNKNOWN","UNKNOWN",0.999818181818182
"4639","OTU670",0.000225,5.375,1.125,0.008,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","f:Elev-16S-1332","UNKNOWN","UNKNOWN",1
"4649","OTU6729",3.75e-05,0.75,0,0.023,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_4","f:Unknown_Family","g:Blastocatella","s:Acidobacteriaceae_bacterium_Gsoil_1619",1
"4675","OTU680",0.000215625,4.5,0.25,0.011,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Caulobacterales","f:Caulobacteraceae","g:Brevundimonas","UNKNOWN",1
"4842","OTU736",0.0003703125,1.625,8.75,0.009,"k:Bacteria","p:Acidobacteria","c:Holophagae","o:Subgroup_7","UNKNOWN","UNKNOWN","UNKNOWN",1
"4874","OTU751",0.000596875,1.375,12.875,0.002,"k:Bacteria","p:Verrucomicrobia","c:Verrucomicrobiae","o:Verrucomicrobiales","f:Verrucomicrobiaceae","g:Luteolibacter","UNKNOWN",0.999818181818182
"4918","OTU768",0.0004328125,11.625,3.625,0.007,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Propionibacteriales","f:Nocardioidaceae","g:Aeromicrobium","UNKNOWN",1
"4920","OTU769",8.75e-05,0,1.75,0.036,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Terrimonas","UNKNOWN",1
"4943","OTU777",0.0031515625,4.125,64.625,0.035,"k:Bacteria","p:Proteobacteria","c:Gammaproteobacteria","o:Pseudomonadales","f:Moraxellaceae","g:Perlucidibaca","UNKNOWN",1
"4970","OTU7857",0.000165625,0.375,3.5,0.01,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Ferruginibacter","UNKNOWN",1
"4987","OTU791",0.00013125,0,2.625,0.03,"k:Bacteria","p:Proteobacteria","c:Gammaproteobacteria","o:Pseudomonadales","f:Moraxellaceae","UNKNOWN","UNKNOWN",1
"5013","OTU8",0.0111640625,342.125,122,0.002,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Sphingomonas","UNKNOWN",0.999818181818182
"5014","OTU80",0.000853125,36.375,23.375,0.048,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Pseudonocardiales","f:Pseudonocardiaceae","g:Pseudonocardia","UNKNOWN",1
